Vegetable,Season,Month,Temp,Deasaster Happen in last 3month,State,Price per kg
Chilly,Summer,January,24.331473657182258,0,West Bengal,133.41008014814315
Tomato,Monsoon,October,35.67816323007055,1,Andhra Pradesh,178.22283204979828
Peas,Monsoon,September,33.29422278311021,1,Sikkim,194.88750886182433
Cucumber,Spring,September,28.17922544525232,1,Chhattisgarh,131.76676058570524
Bitter gourd,Spring,March,12.79631597070179,1,Lakshadweep,93.07122392330984
Cabbage,Spring,December,20.998091098376882,1,Bihar,179.19653536469733
Garlic,Autumn,November,15.830229450400626,0,Puducherry,183.31356545812795
Radish,Summer,April,33.99147940675344,1,Meghalaya,34.81803464389259
Pumpkin,Autumn,March,30.88912903015342,1,Sikkim,95.19142333954163
Garlic,Winter,March,32.29278828690219,1,Manipur,30.481442014794823
Chilly,Monsoon,October,15.228133181437219,0,Sikkim,114.21917478849798
Garlic,Summer,February,23.413725950583128,0,Lakshadweep,112.84594289600487
Pointed grourd,Spring,June,27.49689160848287,1,Sikkim,59.29225006228893
Cauliflower,Summer,July,38.97031811124347,0,Manipur,85.34230116442991
Chilly,Monsoon,November,20.954451434272585,0,Punjab,121.15367245521597
Cauliflower,Summer,June,10.494655363183693,1,Karnataka,25.05211723432725
Bitter gourd,Spring,July,14.292035839865585,0,Punjab,26.823224333990698
Ginger,Winter,April,25.603031225668115,1,Goa,64.88504687557673
Radish,Spring,December,19.691422840948125,1,Tripura,130.3660481831945
Cucumber,Monsoon,September,28.370210010963323,0,Sikkim,68.430299884444
Chilly,Winter,February,36.93051262921184,1,Haryana,41.80158492101978
Ginger,Monsoon,January,27.528683500538865,1,Bihar,114.55467195225815
Pointed grourd,Winter,January,34.672677260228554,0,Dadra and Nagar Haveli,58.16624712738329
Radish,Monsoon,April,31.07982854733537,1,Manipur,124.83548075737961
Ginger,Summer,June,20.551394710448804,0,Meghalaya,29.10800870188481
Okra,Winter,January,38.02389473710082,1,Rajasthan,88.14549986426604
Cauliflower,Monsoon,December,21.4577824022571,1,Mizoram,93.71736874304736
Cucumber,Autumn,September,15.999053010617512,0,Telangana,68.88697829000343
Ginger,Winter,July,36.1983941280365,1,Meghalaya,128.24925496284695
Brinjal,Autumn,July,16.694655311357636,0,Jharkhand,164.10468359893022
Pointed grourd,Autumn,April,26.073692198911086,0,Lakshadweep,69.14138071796202
Potato,Spring,July,37.52037827369608,1,Gujarat,166.8254035418379
Brinjal,Winter,March,23.193922019737236,0,Rajasthan,78.91311397472722
Onion,Spring,February,18.17993259110473,0,Bihar,106.95995908359211
Okra,Autumn,February,17.44958302653463,0,Puducherry,92.30396375526774
Cucumber,Autumn,June,28.64184068906863,0,Assam,141.2033280861442
Cauliflower,Autumn,October,35.24706711941273,0,Nagaland,139.6441566214064
Okra,Summer,March,23.956271454152457,0,Himachal Pradesh,174.19170498296498
Okra,Spring,July,38.45421468116371,0,Uttarakhand,35.687094998989025
Okra,Summer,October,29.774960081525677,1,Lakshadweep,172.82168548401216
Radish,Monsoon,September,17.40606097420496,1,Delhi,87.59011767400025
Okra,Summer,December,32.306043279478,0,Meghalaya,136.60112666668277
Cabbage,Spring,February,16.6298785463473,0,Maharashtra,189.5413512845807
Ginger,Spring,May,17.56551072698286,0,Tamil Nadu,49.508244468725806
Cabbage,Monsoon,October,14.566889367094422,0,Manipur,162.80085767319193
Bitter gourd,Summer,April,35.975518430218145,1,Odisha,133.94342823141773
Radish,Spring,May,21.2969892344481,1,Sikkim,155.364797008204
Peas,Spring,July,20.876598848805926,1,Karnataka,167.47107621654567
Okra,Spring,April,36.05727592827833,0,Haryana,177.85867568140682
Pointed grourd,Autumn,October,31.630788774322006,1,Gujarat,96.89953060703485
Tomato,Summer,October,18.539696736054715,0,Lakshadweep,89.48610274001643
Ginger,Monsoon,October,15.203094350782862,1,Dadra and Nagar Haveli,70.10044869999943
Chilly,Spring,September,24.817829660518324,1,Nagaland,100.7532223850628
Peas,Summer,June,34.049269599097975,0,Manipur,60.48403866988868
Pumpkin,Spring,February,29.18923657638826,1,Chhattisgarh,154.22305935708977
Radish,Summer,December,18.51518974914206,1,Chhattisgarh,145.79602919201045
Tomato,Spring,January,33.97970083752921,1,Dadra and Nagar Haveli,66.11288153136832
Peas,Winter,September,31.062648512164778,1,Uttar Pradesh,25.414748971281114
Cabbage,Autumn,June,25.216409188940517,1,Himachal Pradesh,45.14125068702919
Cucumber,Autumn,January,37.63035549253709,1,Gujarat,58.74244060940707
Onion,Summer,May,32.11061655118319,0,Chhattisgarh,105.98366514877989
Cauliflower,Summer,September,18.3956543403607,1,West Bengal,169.71647352013557
Radish,Monsoon,September,16.00582286342944,1,Gujarat,107.09076972831303
Ginger,Summer,May,13.961905133683299,1,Lakshadweep,116.12308808073777
Onion,Winter,June,29.409845315951102,1,Punjab,181.04134049096052
Ginger,Winter,June,15.802616929109885,1,Tamil Nadu,29.917489918183364
Bitter gourd,Summer,September,13.813521450434708,0,Tamil Nadu,74.51825450366158
Brinjal,Winter,February,29.634314390952696,0,Daman and Diu,194.12456138019877
Cucumber,Autumn,November,36.32313193295095,1,Dadra and Nagar Haveli,182.5620610200467
Chilly,Winter,April,35.39874209490522,1,Lakshadweep,85.09854228838844
Tomato,Spring,February,27.264564390317535,0,Tripura,84.92972632551849
Ginger,Spring,March,35.16342168510011,0,Delhi,168.42212212656202
Radish,Spring,July,39.77128295029216,1,Kerala,172.5760322860252
Ginger,Summer,March,15.992450929936224,0,Mizoram,33.165968858309675
Cabbage,Summer,June,18.127940682601142,1,Puducherry,82.72500739770157
Tomato,Summer,May,26.230176740901907,1,Gujarat,92.99999099513118
Pumpkin,Autumn,August,36.78221930914066,0,Karnataka,121.11003774936985
Garlic,Summer,April,35.646138055692816,0,Himachal Pradesh,86.17641684495655
Garlic,Spring,August,29.030067234883113,0,Uttar Pradesh,197.1081550922371
Cucumber,Monsoon,April,17.67397157889371,1,Himachal Pradesh,118.59429500917578
Tomato,Spring,December,11.758483048351371,1,Tamil Nadu,71.57021438029994
Cauliflower,Summer,December,39.53425506921276,1,Nagaland,168.67677932959776
Cucumber,Summer,March,23.76333007681835,0,Telangana,186.22243680989288
Pointed grourd,Autumn,October,32.906574266968164,1,Nagaland,76.8136891156245
Pumpkin,Spring,September,10.368725477636131,1,Meghalaya,97.98175068585606
Cucumber,Summer,May,24.92063211151971,1,Arunachal Pradesh,146.1655233922202
Okra,Summer,September,27.020984449053227,0,Bihar,177.4769088576489
Brinjal,Monsoon,January,36.82779877503842,0,Nagaland,142.3323853772417
Pointed grourd,Monsoon,November,30.954639462970476,0,Arunachal Pradesh,187.71529954073984
Bitter gourd,Winter,March,39.956923860117016,1,West Bengal,188.36333218501335
Garlic,Monsoon,March,16.37654233788125,1,Goa,27.9072366818763
Bitter gourd,Spring,May,25.966785716110987,1,Rajasthan,35.28517276067614
Garlic,Spring,December,34.160039008699236,1,Dadra and Nagar Haveli,65.3720368093197
Brinjal,Summer,November,39.79215421237271,0,Sikkim,193.1318588325808
Cauliflower,Monsoon,September,37.373512505525326,1,Punjab,120.38936377295583
Ginger,Autumn,October,31.04155730438571,1,Bihar,24.02619205651331
Ginger,Monsoon,September,15.416960474430855,0,Chandigarh,62.44456759583955
Brinjal,Winter,December,13.027295189618286,1,Himachal Pradesh,157.07109040279542
Ginger,Winter,December,13.460998291973922,1,Karnataka,117.6113972268791
Okra,Summer,November,34.312745587524596,1,Karnataka,120.42469145656197
Tomato,Summer,August,16.96682743796864,0,Bihar,128.44137024254135
Ginger,Spring,June,30.629091508682475,1,Delhi,107.67656502921899
Pumpkin,Spring,December,13.609600190700554,1,Gujarat,50.04434950269043
Tomato,Winter,October,21.619210978883338,0,Bihar,93.09894712260235
Cauliflower,Autumn,February,25.05916098064118,1,Madhya Pradesh,56.63664461711725
Pointed grourd,Autumn,June,32.63478187114288,0,Tamil Nadu,73.79112885414708
Garlic,Spring,August,19.28055757697265,0,Tamil Nadu,181.86759543310615
Garlic,Autumn,January,15.11742396994024,1,Kerala,60.23833248186032
Pointed grourd,Monsoon,August,16.34581021036809,0,Karnataka,101.62983736137272
Tomato,Summer,May,18.665392866890755,0,Meghalaya,57.08362622288672
Garlic,Winter,June,34.01621585636874,0,Bihar,187.08389210973894
Pumpkin,Winter,December,19.126571169939737,0,Maharashtra,136.8965954919163
Brinjal,Spring,February,29.116535593522745,1,Daman and Diu,91.50661653046207
Cucumber,Summer,April,27.921404467302928,1,Andaman and Nicobar Islands,125.47003456324092
Radish,Autumn,October,37.464517866193816,0,Manipur,146.76176671245986
Ginger,Spring,July,12.333067063831233,1,Tripura,31.801811013735282
Radish,Monsoon,October,34.933376980977016,1,Bihar,103.06534101474354
Peas,Spring,August,28.98631517200615,1,Chandigarh,93.98710417242006
Cucumber,Autumn,September,19.603185970359917,1,Delhi,186.89629419474008
Pumpkin,Autumn,July,13.420508090993614,0,Arunachal Pradesh,69.95810565128885
Chilly,Winter,December,33.156873705202955,1,Chhattisgarh,52.13471508528987
Bitter gourd,Summer,November,17.901252052736773,0,Himachal Pradesh,121.81554683940868
Cabbage,Spring,March,12.08581077673309,1,Jharkhand,34.52936345978261
Pointed grourd,Winter,August,12.23743577475154,1,Nagaland,147.49638367835234
Chilly,Spring,June,18.787043652209015,0,Himachal Pradesh,114.624829245411
Cabbage,Monsoon,November,30.494511097521833,0,Daman and Diu,44.38358588798249
Pointed grourd,Summer,March,39.84249265934959,0,Mizoram,125.896624674231
Brinjal,Summer,October,31.62805699473567,1,Maharashtra,170.32490235626457
Potato,Winter,April,14.073314900881343,1,Arunachal Pradesh,74.8913551593632
Brinjal,Summer,June,18.652940389551787,0,Karnataka,105.2745893608809
Tomato,Summer,November,35.56841109570816,1,Chhattisgarh,72.6882868338143
Pointed grourd,Winter,December,25.949842004416737,1,Andaman and Nicobar Islands,58.36773916018767
Okra,Summer,October,33.55678613780414,1,Delhi,104.98643447298976
Cucumber,Monsoon,September,19.856889018681525,1,Andhra Pradesh,170.45589313456847
Brinjal,Spring,May,19.103854718894382,0,Telangana,26.58322585768851
Pumpkin,Summer,November,30.03550314531215,0,Andaman and Nicobar Islands,181.83197046477144
Bitter gourd,Summer,September,13.824769804550247,1,Delhi,83.49571856181934
Cauliflower,Winter,November,29.277685678569974,0,Himachal Pradesh,122.53274163621279
Cucumber,Autumn,February,39.196213946126534,1,Mizoram,136.5542306412716
Tomato,Monsoon,April,24.913117971797558,0,Chhattisgarh,141.4854466619031
Ginger,Monsoon,February,23.41406878812894,0,Uttar Pradesh,154.7216625846424
Peas,Summer,May,10.422602337263939,0,Gujarat,174.8223045774234
Pumpkin,Spring,May,32.054662690050606,0,Jharkhand,182.98774572650402
Okra,Spring,January,24.198823634714326,1,Gujarat,85.28880400133666
Bitter gourd,Summer,July,36.46278529192482,0,Delhi,21.58148298768911
Okra,Monsoon,May,17.38127337769617,1,Kerala,189.4360129825859
Pointed grourd,Monsoon,June,28.941293064999325,1,Puducherry,121.8047721421456
Cabbage,Autumn,March,20.211059072271382,1,Punjab,162.42970733494542
Tomato,Summer,January,38.12350431878099,0,Andhra Pradesh,172.15101149308566
Chilly,Summer,April,31.024896035623172,1,West Bengal,48.85354121944809
Potato,Summer,August,19.43945962720733,0,Daman and Diu,44.01831132276198
Cabbage,Spring,January,37.212911209404936,1,Himachal Pradesh,24.209186326158516
Bitter gourd,Monsoon,March,19.74726272283855,1,Odisha,145.16388029771707
Bitter gourd,Monsoon,September,13.160742909938502,1,Punjab,50.55130776682813
Pointed grourd,Winter,April,14.595458336632568,0,Maharashtra,70.05671084523583
Tomato,Spring,August,11.148515613070876,0,Sikkim,112.20857476260935
Bitter gourd,Autumn,November,37.31258299723545,1,Punjab,173.98377022521927
Pumpkin,Summer,August,29.803685601588388,0,Assam,109.43132346088447
Radish,Monsoon,August,28.845827166781234,1,Andaman and Nicobar Islands,169.44997378886643
Brinjal,Monsoon,March,15.714670257166885,1,Haryana,140.2060932789751
Garlic,Autumn,October,26.187464435072208,0,Maharashtra,134.04814673383555
Tomato,Monsoon,October,19.42852478533713,1,Arunachal Pradesh,29.02928412169331
Pointed grourd,Winter,September,34.39754173566027,1,Sikkim,166.21594590073252
Tomato,Spring,February,37.9180505301502,1,Rajasthan,79.20008517428346
Okra,Monsoon,May,29.970771758474495,1,Gujarat,144.43942572023147
Cauliflower,Winter,August,28.887796327359723,1,Himachal Pradesh,25.05070712866637
Ginger,Winter,November,12.133760314817463,1,Nagaland,168.10611656077785
Cabbage,Autumn,February,29.709624682658376,1,Uttarakhand,54.90380578585274
Tomato,Monsoon,November,31.95951234558633,1,Uttar Pradesh,171.8033628408675
Tomato,Winter,November,35.46082432860216,1,Sikkim,165.66678914972218
Pointed grourd,Summer,May,15.935874511936465,1,Punjab,132.59590417777946
Pumpkin,Monsoon,July,16.82506652581168,1,Jharkhand,94.17107452091682
Bitter gourd,Winter,July,16.946595340856483,1,Andaman and Nicobar Islands,56.239482868423224
Chilly,Winter,June,27.660836102086034,1,Jharkhand,55.388694581968224
Ginger,Monsoon,March,38.296530987347275,0,Haryana,78.80694770761849
Pointed grourd,Spring,October,33.973911945230256,1,Andaman and Nicobar Islands,129.72124064030154
Cabbage,Autumn,November,24.14839543770152,0,Karnataka,69.53290599089138
Pumpkin,Autumn,February,25.59589453406108,1,Bihar,163.24278084972988
Pumpkin,Spring,July,13.185905103402899,1,Dadra and Nagar Haveli,139.82981309077792
Cauliflower,Summer,March,31.803800359235748,0,Telangana,159.11577754753233
Onion,Winter,August,20.66176083629158,0,Telangana,110.78864202326962
Ginger,Winter,November,15.386335491205896,0,Madhya Pradesh,95.06175912916584
Chilly,Summer,September,12.066310797021318,0,Assam,164.4939999804873
Radish,Winter,August,16.40709290544957,0,Uttar Pradesh,108.78597063568334
Radish,Spring,April,10.181951202717741,0,Jharkhand,186.7223391688344
Bitter gourd,Winter,February,30.732861120742783,1,Tamil Nadu,23.59606502672882
Bitter gourd,Autumn,January,17.21124734378315,1,Tamil Nadu,44.24949477748209
Okra,Spring,November,10.56505214442405,0,Andaman and Nicobar Islands,58.32524385779751
Garlic,Monsoon,July,25.178160147723705,1,Nagaland,107.40672335903375
Okra,Summer,March,27.691250220989254,0,Chandigarh,112.58586175410312
Chilly,Autumn,December,31.537685957542198,1,Gujarat,97.13230004245744
Okra,Summer,April,18.182056526783875,1,Chandigarh,53.811549279100404
Onion,Summer,January,26.084252030744338,1,Meghalaya,93.57015368227152
Potato,Summer,November,31.961869588636862,1,Jharkhand,140.41457307699648
Chilly,Summer,December,18.614473016898692,0,Gujarat,62.259555447313495
Bitter gourd,Autumn,February,29.629094684926795,0,Telangana,87.64602992869392
Potato,Winter,April,39.768080064910066,1,Telangana,119.34798484391435
Bitter gourd,Spring,August,37.907118997996264,1,Telangana,53.30894911923121
Cucumber,Monsoon,October,28.732122701774106,0,Uttar Pradesh,36.23654059868781
Potato,Monsoon,October,28.828385259152324,1,Mizoram,96.19180284397532
Tomato,Autumn,July,22.47670333674948,1,Delhi,67.5351021515506
Tomato,Monsoon,October,29.791919899104638,0,Chandigarh,106.4314250081402
Onion,Autumn,June,21.784692600488576,1,Andaman and Nicobar Islands,106.97726151941454
Garlic,Spring,September,14.950448236912784,0,Chandigarh,48.61261705261532
Bitter gourd,Summer,May,31.883891044468633,0,Delhi,98.32497216317155
Pointed grourd,Monsoon,September,10.20361534914566,0,Uttar Pradesh,59.012729336158785
Radish,Winter,December,11.028493316130849,1,Tripura,58.72602476883489
Brinjal,Monsoon,May,28.752906411871518,1,Chandigarh,152.38508629425976
Onion,Autumn,November,39.941737807507536,0,Arunachal Pradesh,163.69530101172796
Peas,Spring,January,30.63208158275276,0,West Bengal,166.58184043731364
Bitter gourd,Autumn,February,11.992254293648209,1,Uttarakhand,69.77781466837243
Cauliflower,Autumn,March,20.287992089764515,0,Tamil Nadu,96.3337883858502
Chilly,Winter,September,20.34836702451865,1,Chandigarh,80.35511969853081
Pointed grourd,Monsoon,January,18.945331525975234,0,Karnataka,101.99511510727507
Potato,Spring,September,33.26892025254089,0,Lakshadweep,161.13705100182497
Onion,Winter,February,37.92988755365935,1,Rajasthan,130.12766452111987
Garlic,Summer,August,32.365857726883306,1,Maharashtra,56.19441341171085
Onion,Autumn,January,11.24121673641652,1,Daman and Diu,186.04443511337942
Cauliflower,Monsoon,February,30.83095157534325,1,Puducherry,20.211465573825077
Peas,Summer,July,21.317006436970257,0,Daman and Diu,30.76434756280517
Chilly,Summer,August,33.40797580559763,1,Mizoram,45.164848053423555
Cauliflower,Spring,May,30.34706501322881,0,Gujarat,137.36403668854098
Ginger,Autumn,June,13.153344253377814,0,Kerala,62.5595490010909
Onion,Autumn,December,22.91189260325395,0,Puducherry,131.50644194304428
Pumpkin,Autumn,September,36.32999715578255,0,Punjab,104.19960779620985
Radish,Autumn,February,28.035231373725946,0,Andhra Pradesh,119.52147296757981
Cabbage,Autumn,December,15.90359823414574,1,Tripura,176.76568708611168
Chilly,Monsoon,February,20.108063369973195,1,West Bengal,193.56565593226657
Cucumber,Winter,June,11.546714015942145,1,Sikkim,193.45213959283834
Peas,Summer,June,10.084354724442065,1,West Bengal,145.3201474827649
Pointed grourd,Monsoon,July,35.74002470925607,1,Andaman and Nicobar Islands,47.84173354707798
Onion,Spring,August,16.23443734122261,1,West Bengal,198.2446333895938
Potato,Summer,July,13.280759552560452,1,Karnataka,56.46259774305186
Okra,Summer,July,11.861193920980282,0,Telangana,199.08794529189606
Brinjal,Summer,May,36.00739724418639,1,Punjab,70.88531181314309
Garlic,Summer,September,38.897146897181116,0,Nagaland,154.25087549850764
Potato,Winter,March,18.1209538850065,0,Nagaland,95.55466407189598
Brinjal,Autumn,September,19.693840872546076,0,Andhra Pradesh,179.15476651387587
Potato,Monsoon,May,32.38674734648925,0,Maharashtra,138.86870780328456
Ginger,Autumn,August,21.88037426332624,1,Dadra and Nagar Haveli,57.55462199816493
Chilly,Spring,May,16.06230074810589,1,Lakshadweep,30.961287382836915
Brinjal,Monsoon,April,22.6111962908616,0,Meghalaya,158.95128785409355
Peas,Winter,May,26.466298995718997,0,Delhi,44.77706925533899
Cabbage,Summer,March,28.749050257924953,1,Lakshadweep,182.46615163209756
Cucumber,Winter,August,31.848833787966715,1,Manipur,126.85153724115321
Garlic,Autumn,July,15.772353420559842,1,Manipur,93.34185458689458
Radish,Monsoon,April,37.495909193159974,1,Tamil Nadu,23.51907000482533
Cucumber,Monsoon,April,34.92065579237949,1,Assam,71.20482859721264
Bitter gourd,Monsoon,May,37.99450099605335,1,Uttarakhand,127.62433143224294
Radish,Monsoon,October,25.93668669919864,1,Puducherry,145.56262276851447
Pumpkin,Spring,October,28.071726198132005,1,Uttarakhand,150.1405260743697
Tomato,Spring,July,38.191034350984914,1,Jharkhand,59.78163018038366
Cucumber,Autumn,April,26.69507917918515,0,West Bengal,106.68855296785468
Radish,Autumn,March,32.35490669796317,0,Sikkim,141.50188867906718
Okra,Autumn,November,29.177623436066426,0,Nagaland,102.76998804123947
Bitter gourd,Summer,December,31.867984667755714,1,Nagaland,111.28160739607983
Radish,Autumn,August,39.46529116126655,1,Chandigarh,123.47452390365052
Tomato,Autumn,April,14.788176046039712,1,Nagaland,82.25447698445439
Brinjal,Autumn,April,15.348211301298596,0,Kerala,30.607575667579212
Radish,Monsoon,July,10.847668697509565,1,Punjab,91.94606162515603
Cucumber,Monsoon,February,28.4466894054282,0,Haryana,117.318072086869
Potato,Winter,August,29.85724580365058,1,Lakshadweep,144.19314187965307
Peas,Monsoon,December,38.3312311828499,0,Nagaland,183.5999565591059
Radish,Monsoon,November,13.578155446687024,0,Chandigarh,34.64709115979723
Cucumber,Winter,March,16.952327479260447,0,Delhi,56.435662575476705
Cauliflower,Autumn,October,19.624536307654925,1,Chandigarh,86.67046780072428
Brinjal,Spring,September,37.37993834272848,0,Punjab,136.7426607773319
Brinjal,Monsoon,August,13.841976884549023,1,West Bengal,60.25501996605764
Bitter gourd,Winter,May,23.375161649245985,0,Delhi,81.4062191508464
Onion,Monsoon,June,16.518047934518307,1,Dadra and Nagar Haveli,190.1995298410892
Cabbage,Winter,May,11.237193104589553,0,Manipur,87.36374673413495
Brinjal,Autumn,October,26.22731466484107,1,Goa,69.65386503953653
Peas,Monsoon,May,23.553056301000943,1,Delhi,126.84216418564048
Radish,Winter,January,18.2835838481014,1,Karnataka,112.29200479975609
Chilly,Autumn,May,24.99831249511618,1,Arunachal Pradesh,152.69528646385422
Tomato,Spring,November,12.91061931797584,0,Delhi,148.18472498757532
Potato,Autumn,February,27.67154810465924,0,Meghalaya,83.50409127319037
Chilly,Summer,November,35.967738436097775,0,Gujarat,194.33578571296897
Peas,Monsoon,June,34.59902276715373,1,Gujarat,152.83256646738198
Pumpkin,Winter,March,32.59401265218121,1,Punjab,165.68433153539218
Radish,Monsoon,June,21.28146892916552,1,Himachal Pradesh,33.84174385878
Cabbage,Autumn,April,36.508561510084405,0,Manipur,90.89164020691987
Potato,Winter,January,35.303478713315926,0,Odisha,64.9163458672142
Potato,Monsoon,May,25.20575716760898,1,West Bengal,79.28048489027944
Garlic,Monsoon,February,28.23436381492026,0,Daman and Diu,90.26839767201798
Cabbage,Spring,October,17.666956443183327,1,Uttarakhand,96.96576734719962
Chilly,Autumn,November,38.081761360695985,0,Himachal Pradesh,81.6528915438279
Bitter gourd,Winter,November,34.03104766363067,0,Chhattisgarh,198.35471147913378
Potato,Autumn,October,12.67644234170871,1,Mizoram,152.38843984390462
Cucumber,Autumn,September,20.880339521509406,1,Andhra Pradesh,144.32727666479292
Okra,Spring,May,32.97894724158398,1,Mizoram,185.55299073859587
Garlic,Spring,June,34.63890332044603,1,Jharkhand,46.111440714789794
Radish,Autumn,June,14.247637657724997,0,Kerala,137.89748811441925
Okra,Monsoon,May,18.400157619719188,1,Mizoram,26.890200076015468
Radish,Summer,June,28.730066738725018,0,Himachal Pradesh,169.49778432110776
Ginger,Summer,August,14.26450980795185,1,Jharkhand,105.89189363110707
Pointed grourd,Summer,October,37.51261387374328,0,West Bengal,31.336367722985944
Peas,Monsoon,January,16.231822064009958,0,Goa,105.67162187407753
Brinjal,Winter,April,27.25578150218223,1,Madhya Pradesh,184.67061270097764
Tomato,Monsoon,October,36.073820778991134,0,Nagaland,114.15727374894642
Brinjal,Summer,June,24.333272010432843,0,Odisha,52.12167889259974
Pumpkin,Monsoon,July,11.909309512155492,0,Daman and Diu,157.9531736994561
