Vegetable,Season,Year,Month,Temp,Deasaster Happen in last 3month,State,Price per kg
Cucumber,Spring,2020,April,25.209376671838317,0,Assam,112.60567822379242
Brinjal,Autumn,2020,January,33.993207557776955,0,Madhya Pradesh,53.55142022831055
Onion,Spring,2020,March,15.925000458526277,0,Chandigarh,177.3640274
Cauliflower,Spring,2020,June,26.029841446443502,1,Nagaland,171.3099235062632
Pointed grourd,Spring,2020,January,22.140348239709894,1,Kerala,26.567612064939247
Cabbage,Summer,2020,January,26.10209138895649,0,Uttar Pradesh,138.1042427237461
Garlic,Monsoon,2020,October,33.175051108941474,0,Madhya Pradesh,64.74237198581514
Tomato,Winter,2020,September,26.751848344349877,1,Telangana,55.95629518898184
Garlic,Winter,2020,August,10.46499810304631,1,Sikkim,55.511310742415226
Brinjal,Spring,2020,January,33.603975564791774,0,Odisha,71.46863497202976
Peas,Summer,2020,March,11.52347441371383,0,Uttar Pradesh,116.97769312751802
Potato,Monsoon,2020,September,32.99801248109337,1,Lakshadweep,26.10222375
Brinjal,Summer,2020,June,31.623464066720956,1,Andaman and Nicobar Islands,25.648356269993975
Cucumber,Summer,2020,January,26.703560494338348,1,Chhattisgarh,107.5973376300057
Brinjal,Monsoon,2020,February,32.92710816372421,1,Maharashtra,166.51616658330664
Chilly,Monsoon,2020,August,12.976952378734271,0,Gujarat,116.4387105962167
Radish,Winter,2020,August,12.412130221684556,1,Delhi,140.55195051278406
Potato,Summer,2020,August,23.074049827030613,0,Dadra and Nagar Haveli,169.91768823848943
Chilly,Monsoon,2020,April,36.24415639452545,0,Uttar Pradesh,125.84285310111949
Garlic,Winter,2020,April,15.143230747657942,1,Sikkim,92.38193309446746
Pumpkin,Monsoon,2020,March,30.58776092664684,0,Manipur,193.59390663196464
Potato,Spring,2020,February,10.349769576928109,1,Kerala,195.5404439379789
Pumpkin,Autumn,2020,March,36.59563451,1,Dadra and Nagar Haveli,24.487109013998705
Garlic,Autumn,2020,April,10.670417618867088,1,Andaman and Nicobar Islands,87.41421538879148
Peas,Winter,2020,February,15.538259594224606,0,Odisha,97.27143987543049
Okra,Spring,2020,November,35.77207588710489,1,Gujarat,188.9501319349601
Cabbage,Summer,2020,August,38.36068793628671,0,Puducherry,171.05338701751066
Okra,Autumn,2020,April,38.030524251244486,1,Arunachal Pradesh,85.33782763
Okra,Summer,2020,December,14.359269822428653,0,Uttar Pradesh,167.12002848647938
Pointed grourd,Summer,2020,February,16.888253735205588,1,Rajasthan,31.771469276129594
Cucumber,Spring,2020,May,30.1671497,0,Maharashtra,146.69439099911628
Bitter gourd,Winter,2020,August,18.886253171493898,0,Chandigarh,181.8186514613513
Onion,Summer,2020,September,26.81436287029139,1,Andhra Pradesh,119.32826097967761
Radish,Winter,2020,August,17.299224764008322,1,Daman and Diu,168.57854861488295
Garlic,Summer,2020,May,30.879694176852574,0,Tripura,84.73531454952594
Ginger,Spring,2020,October,39.862482313330176,0,Lakshadweep,196.9820039765728
Tomato,Winter,2020,December,31.108847962402958,0,Manipur,183.84342284136937
Radish,Winter,2020,October,23.560463838309538,0,Chhattisgarh,26.288289500221325
Radish,Autumn,2020,February,35.257565155757874,0,Odisha,88.29648344872763
Radish,Spring,2020,July,32.896187277806064,0,Tripura,39.14495296589829
Cauliflower,Spring,2020,May,30.19412728045526,1,Bihar,20.237637943666748
Potato,Winter,2020,October,13.582328982149644,0,Gujarat,154.00493551925973
Okra,Autumn,2020,December,13.176331344667753,0,Uttarakhand,121.28863887044666
Cauliflower,Autumn,2020,December,29.131643015236087,0,Manipur,84.97586966570735
Cabbage,Autumn,2020,February,16.14268077173456,1,Punjab,155.00729104909777
Ginger,Spring,2020,December,18.718742655862428,1,Mizoram,112.50176996611614
Pumpkin,Autumn,2020,August,21.890326178000112,1,Odisha,163.10328993725923
Cabbage,Spring,2020,November,15.021756788137058,0,Lakshadweep,144.4190703464592
Okra,Autumn,2020,September,30.471080854325294,0,Tripura,49.88745415590206
Cucumber,Monsoon,2020,August,38.25093032486924,0,Madhya Pradesh,45.010404631208395
Peas,Winter,2020,July,30.47905724718328,1,Madhya Pradesh,74.62749685047316
Bitter gourd,Autumn,2020,April,32.20463802127758,0,West Bengal,114.71899379671757
Potato,Summer,2020,December,20.179845415666335,1,Nagaland,27.96862449294102
Onion,Monsoon,2020,February,15.98674567406785,1,Chandigarh,164.82625173577486
Pointed grourd,Winter,2020,August,30.360518408647994,1,Maharashtra,29.430195881016296
Pointed grourd,Autumn,2020,October,37.23775797882576,1,Andhra Pradesh,46.608531858949355
Tomato,Summer,2020,July,32.433547367335294,0,Himachal Pradesh,182.60577245506508
Pumpkin,Winter,2020,March,23.921875903372992,0,Bihar,135.95256865742493
Bitter gourd,Spring,2020,July,21.605613816431344,0,Haryana,173.44084304432678
Cabbage,Monsoon,2020,December,17.909713448492973,1,Uttarakhand,145.3000981385062
Chilly,Autumn,2020,November,32.01819151883942,1,Lakshadweep,92.43752347
Potato,Monsoon,2020,August,14.811532684665654,1,Tripura,128.9625735765407
Cauliflower,Spring,2020,January,17.924569908132213,1,Manipur,159.66901206406365
Tomato,Spring,2020,September,27.548664838449607,1,West Bengal,156.2780764147758
Ginger,Monsoon,2020,August,17.638754616926104,1,Mizoram,181.11210677595926
Cucumber,Monsoon,2020,March,15.320793268190126,0,Sikkim,97.83159194262332
Pointed grourd,Winter,2020,March,15.36446104,1,Chhattisgarh,188.60596295572321
Brinjal,Autumn,2020,April,24.05055824762053,0,Assam,122.23751877861868
Radish,Winter,2020,April,23.96000964,0,Karnataka,80.40209776919488
Tomato,Winter,2020,December,37.28709506033603,1,Chandigarh,95.58732820290864
Pumpkin,Autumn,2020,November,33.36792106754865,0,Mizoram,192.5889250254847
Tomato,Summer,2020,September,12.924346369843267,0,Goa,82.31200667170233
Pumpkin,Summer,2020,September,22.94347798336549,1,Arunachal Pradesh,195.25075468244412
Cucumber,Winter,2020,February,25.581525890731818,0,Odisha,88.20529721928989
Ginger,Monsoon,2020,June,31.63393202,0,Sikkim,113.7880096282344
Cabbage,Monsoon,2020,May,10.646548791962166,0,Andhra Pradesh,190.72173355291483
Peas,Spring,2020,October,17.63368217928277,1,Tripura,158.5839885860752
Garlic,Monsoon,2020,January,13.38051619895301,1,Puducherry,196.66999900388325
Ginger,Autumn,2020,June,28.302376413563213,1,Haryana,176.73163980896805
Garlic,Monsoon,2020,August,33.72334782431361,0,Telangana,87.94955273717578
Tomato,Spring,2020,March,13.855200924203892,1,Goa,180.47603786969157
Garlic,Winter,2020,February,27.42483071471026,0,Telangana,128.08916284359162
Radish,Summer,2020,June,33.94738839207797,0,Punjab,24.94264771079802
Ginger,Winter,2020,April,29.93084621635794,1,Sikkim,98.18741694966472
Chilly,Autumn,2020,September,30.790029982006672,0,Telangana,89.06448328463142
Pointed grourd,Summer,2020,March,31.01960363024103,0,Uttar Pradesh,52.75310581
Ginger,Summer,2020,May,13.152267139620134,1,Chandigarh,60.24946054943524
Cucumber,Spring,2020,November,26.713275303994394,0,Tamil Nadu,85.32797659449062
Potato,Monsoon,2020,March,16.979173550871643,1,Puducherry,162.61034038141318
Ginger,Monsoon,2020,November,38.61947821954816,0,Goa,68.40416567464166
Cauliflower,Summer,2020,September,23.70436284865795,0,Bihar,57.962760326954374
Cucumber,Autumn,2020,July,30.46083851248754,1,Manipur,103.59442377143293
Cucumber,Winter,2020,February,38.42299275286244,1,Telangana,196.55882242996273
Garlic,Spring,2020,June,15.22980841746417,1,Rajasthan,180.98052511220598
Ginger,Winter,2020,October,17.882062935606204,1,Goa,160.16779391555576
Bitter gourd,Summer,2020,June,16.146365952813305,0,Karnataka,128.93352601530717
Pumpkin,Autumn,2020,July,33.50931332,0,Goa,178.90647533736785
Okra,Spring,2020,October,34.626714320047284,0,Maharashtra,27.54963276
Radish,Spring,2020,December,38.023693136135634,1,Kerala,175.35640680452155
Potato,Winter,2020,May,18.681491211797397,0,Nagaland,178.54740732030183
Peas,Winter,2020,May,32.02072616155072,1,Bihar,75.90393083
Cucumber,Spring,2020,April,22.915809520870113,0,Rajasthan,61.04916738713409
Brinjal,Winter,2020,October,34.17766071684942,1,Goa,118.02828291439883
Cauliflower,Winter,2020,October,31.079860389682704,1,Uttarakhand,134.7090731
Radish,Winter,2020,October,26.056517617589837,0,Telangana,141.85986230030517
Pumpkin,Winter,2020,October,29.94778514732132,0,Mizoram,124.77124108520412
Radish,Winter,2020,December,16.011646138492747,0,Goa,184.95196230828103
Pumpkin,Winter,2020,December,26.43643376361305,1,Madhya Pradesh,193.54395991907955
Cauliflower,Monsoon,2020,November,24.28069909582483,1,Maharashtra,185.10653489912508
Pointed grourd,Autumn,2020,October,12.753645509301304,1,Punjab,102.23692653373469
Cucumber,Summer,2020,April,21.31027727947692,0,Goa,105.70228744993707
Bitter gourd,Winter,2020,June,35.88783843978628,1,Uttar Pradesh,55.53760552871341
Pumpkin,Monsoon,2020,June,37.95713179653437,0,Delhi,137.97822197386222
Potato,Monsoon,2020,January,36.83046944035716,1,Delhi,145.22435250374582
Ginger,Monsoon,2020,December,15.331537799553807,0,Kerala,156.50269845843457
Radish,Monsoon,2020,February,30.57799502,1,Assam,30.145570990113846
Potato,Monsoon,2020,April,21.757815878144118,0,Himachal Pradesh,46.354152083638496
Pointed grourd,Winter,2020,December,10.360607769137488,0,Chhattisgarh,20.651107696595968
Potato,Monsoon,2020,February,13.882983989807707,0,Daman and Diu,198.8691620287213
Bitter gourd,Autumn,2020,September,34.81969772342109,1,Uttarakhand,42.94273439808908
Radish,Spring,2020,November,22.950592684761467,1,Nagaland,128.93695699265157
Pumpkin,Autumn,2020,January,20.98515076937211,0,Punjab,35.51153720562594
Onion,Monsoon,2020,December,33.695428268792064,0,Himachal Pradesh,78.73147513
Okra,Summer,2020,September,34.06186635493947,1,Jharkhand,90.98612886212787
Cucumber,Monsoon,2020,August,31.713396064340053,0,Maharashtra,96.27369965750175
Cabbage,Autumn,2020,September,33.81816832208915,1,West Bengal,119.75803035109767
Tomato,Autumn,2020,August,24.46541458042514,0,Puducherry,178.29928004933538
Onion,Spring,2020,April,21.176166819976814,0,Andaman and Nicobar Islands,111.99839223587756
Brinjal,Winter,2020,November,11.265809485794676,1,Jharkhand,39.22768461563385
Onion,Spring,2020,April,20.56136484,1,Tripura,64.59059564317853
Ginger,Autumn,2020,January,14.036625068801541,0,Gujarat,87.00177367
Cauliflower,Winter,2020,December,12.50160277170842,0,Bihar,91.80441345385636
Cabbage,Autumn,2020,June,34.69320979920903,0,Mizoram,34.352801223700986
Brinjal,Spring,2020,February,15.792289077813887,0,Goa,189.3030905112004
Tomato,Spring,2020,November,25.838476227998875,0,Tamil Nadu,130.00763958248734
Pointed grourd,Autumn,2020,July,39.22695878,0,Andaman and Nicobar Islands,178.2838854206686
Potato,Summer,2020,January,36.14814859267898,0,Dadra and Nagar Haveli,65.42240040729031
Radish,Monsoon,2020,July,11.84159300158489,1,Goa,116.70660075767596
Bitter gourd,Spring,2020,December,32.49156782467742,0,West Bengal,79.06131908938627
Chilly,Winter,2020,March,17.274187302281078,1,Manipur,199.71732938402243
Cucumber,Spring,2020,May,32.19293232433752,0,Daman and Diu,46.08209280327503
Radish,Winter,2020,September,24.378173870275745,0,Telangana,84.09672075115908
Radish,Summer,2020,May,30.512412057130618,0,Jharkhand,43.15358877981093
Tomato,Summer,2020,December,21.753989781587062,0,Bihar,46.04049723514083
Onion,Winter,2020,October,15.083524283221983,1,Dadra and Nagar Haveli,165.67071338141187
Pointed grourd,Winter,2020,August,21.84563451171271,1,Kerala,49.775148372664574
Cucumber,Autumn,2020,November,23.95612632498284,1,Karnataka,55.247483226896435
Potato,Summer,2020,December,14.716086068636182,0,Telangana,189.62562198740537
Chilly,Monsoon,2020,October,20.025586558184273,1,Tripura,94.64696490057062
Cabbage,Autumn,2020,May,38.87073268994477,1,Andhra Pradesh,173.06870510763972
Cucumber,Summer,2020,October,38.58929907571597,0,Rajasthan,60.84238938392582
Bitter gourd,Summer,2020,October,37.21446048823931,1,Maharashtra,56.831964957788415
Pointed grourd,Summer,2020,August,20.890094102924696,1,Karnataka,20.42157594006448
Okra,Autumn,2020,April,30.45686069575441,0,Mizoram,119.55246400592209
Onion,Monsoon,2020,February,35.209458131193145,1,Uttarakhand,66.83954514554708
Cucumber,Summer,2020,October,33.905821739800366,0,Bihar,158.63670880045657
Cauliflower,Autumn,2020,July,17.49334330045411,1,Andaman and Nicobar Islands,191.32763799693828
Cucumber,Autumn,2020,January,21.07979674424315,1,Lakshadweep,20.095980660690177
Potato,Summer,2020,September,27.758585808999104,0,Karnataka,121.21051921713351
Bitter gourd,Autumn,2020,November,22.575900379381736,0,Rajasthan,147.55318946331636
Pumpkin,Summer,2020,November,17.355900507225392,1,West Bengal,99.75688665166423
Ginger,Spring,2020,July,21.17225507551762,1,Nagaland,77.44488234261338
Tomato,Autumn,2020,May,34.01221682858583,0,Odisha,154.15234065073173
Cabbage,Autumn,2020,October,39.04503987438094,0,Haryana,76.30283251703693
Garlic,Autumn,2020,December,33.71425586910797,1,Daman and Diu,89.04054166863166
Cauliflower,Spring,2020,June,22.473420710803808,0,Mizoram,37.17996244316262
Tomato,Summer,2020,May,34.30591132449547,0,Odisha,167.38567686210325
Cabbage,Summer,2020,November,15.302963259004143,1,Tamil Nadu,78.01786229796232
Pumpkin,Monsoon,2020,March,20.30383793671467,1,Uttarakhand,27.770116204350543
Garlic,Spring,2020,December,26.229237367308727,0,Meghalaya,50.3088393
Cabbage,Winter,2020,October,13.640895683873964,0,Maharashtra,68.72401169515558
Okra,Spring,2020,March,23.97725492883687,0,Puducherry,70.73177880814282
Onion,Autumn,2020,July,17.09658604,1,Sikkim,175.33944491955035
Garlic,Summer,2020,April,13.171901709219876,0,Delhi,152.3963350916042
Radish,Spring,2020,December,13.135807527767769,1,Gujarat,66.99794568881073
Potato,Summer,2020,February,23.41016570289313,1,Goa,196.95043639643066
Pointed grourd,Spring,2020,March,21.74028187295717,1,Uttar Pradesh,88.59721130431016
Radish,Spring,2020,June,26.57981671690012,1,West Bengal,69.35785634902692
Tomato,Autumn,2020,August,12.125512910702554,1,Maharashtra,147.34673021653083
Bitter gourd,Spring,2020,December,30.567787697726764,1,Andhra Pradesh,177.62073799237257
Brinjal,Summer,2020,March,14.935932744766983,1,Madhya Pradesh,115.59078433406391
Pumpkin,Spring,2020,December,29.49708381173213,1,Tamil Nadu,129.0026420601529
Radish,Monsoon,2020,October,39.19422943826176,1,Madhya Pradesh,21.882165090403166
Radish,Autumn,2020,August,12.726216107352908,0,Assam,42.493330215168484
Pumpkin,Summer,2020,January,13.247164589724465,1,Puducherry,65.03115968
Onion,Autumn,2020,March,18.22954231688002,0,Lakshadweep,123.64519129959557
Pumpkin,Monsoon,2020,January,11.361106196501652,1,Puducherry,190.10858724108468
Cauliflower,Spring,2020,April,27.524791933791594,1,Mizoram,63.15697274730985
Potato,Autumn,2020,October,34.35879400550545,0,Delhi,162.34733020183322
Cucumber,Summer,2020,January,28.390781364420146,1,Daman and Diu,168.52681854353608
Okra,Autumn,2020,June,36.705294327580376,0,Daman and Diu,196.16036681825912
Bitter gourd,Spring,2020,July,23.416232593185505,1,Andaman and Nicobar Islands,67.29739560130966
Onion,Monsoon,2020,September,38.08822424591658,0,Telangana,98.86358623919386
Radish,Spring,2020,November,29.53034212648005,1,Himachal Pradesh,193.3241255073522
Okra,Winter,2020,September,24.195787633349063,0,Nagaland,58.25502801098131
Tomato,Winter,2020,March,18.59465521162906,1,Gujarat,25.52590099215599
Brinjal,Spring,2020,June,34.15885302867036,0,Uttar Pradesh,102.35934619894455
Potato,Spring,2020,March,23.634044201401927,1,Daman and Diu,150.0348666781885
Onion,Spring,2020,April,20.26866083887829,1,Karnataka,113.21998191214672
Chilly,Monsoon,2020,April,23.464948030048227,1,Puducherry,171.76808301535945
Cabbage,Spring,2020,May,39.54922245169152,1,Chhattisgarh,29.325973846751857
Pointed grourd,Autumn,2020,August,13.37605993534229,1,Tripura,198.42201506332057
Bitter gourd,Spring,2020,May,29.216922739517017,0,Himachal Pradesh,44.615921248393775
Brinjal,Autumn,2020,January,28.042813016707733,1,Tamil Nadu,51.50190395390297
Potato,Autumn,2020,June,26.785217805522453,1,West Bengal,97.29857494169799
Potato,Monsoon,2020,February,20.45819785776225,0,Madhya Pradesh,156.4994299
Tomato,Winter,2020,July,27.76646257086379,1,Tripura,134.63735121328983
Garlic,Spring,2020,October,25.501858876918504,1,Chandigarh,70.15537348
Ginger,Spring,2020,June,38.737054468052264,1,Rajasthan,191.6159923
Cucumber,Monsoon,2020,April,20.691406178523046,0,Chhattisgarh,84.30241387726973
Pointed grourd,Winter,2020,January,26.080184126740658,0,Telangana,80.0336601
Peas,Spring,2020,February,20.306252228066544,1,Rajasthan,99.63389861239365
Pointed grourd,Spring,2020,March,37.26033240312107,0,Manipur,97.23948940343674
Ginger,Spring,2020,August,16.416870409216173,1,Karnataka,114.1762773
Okra,Autumn,2020,September,33.11673124,0,Jharkhand,131.4372279667527
Pumpkin,Summer,2020,December,34.501561569546844,0,Dadra and Nagar Haveli,146.37543849155082
Onion,Autumn,2020,February,29.318273874734366,1,Goa,120.50130938786253
Ginger,Autumn,2020,December,27.706805145605667,0,Chhattisgarh,83.55426913031664
Okra,Monsoon,2020,January,36.58790795441056,1,Goa,137.53294677681356
Onion,Winter,2020,September,36.28845293781015,0,Puducherry,194.87756903067788
Okra,Summer,2020,July,13.870285761778508,0,Tamil Nadu,88.47094305211867
Chilly,Monsoon,2020,June,25.112057371108268,1,Dadra and Nagar Haveli,101.1659453671872
Garlic,Winter,2020,January,31.94941825066136,0,Haryana,126.20584418486392
Okra,Autumn,2020,July,27.131257232096804,1,Goa,37.43312613272273
Cauliflower,Winter,2020,April,34.194086645584626,0,Andhra Pradesh,122.4869564
Garlic,Winter,2020,February,20.898257999401096,0,Maharashtra,142.16991694921543
Peas,Winter,2020,August,14.689738568403738,0,Chhattisgarh,128.61454496637825
Garlic,Winter,2020,November,19.221820359022132,0,Nagaland,85.07210749644331
Tomato,Spring,2020,September,24.067228990104933,1,Rajasthan,62.61491574599625
Chilly,Spring,2020,June,30.583979098097657,1,Gujarat,105.84095336326101
Ginger,Autumn,2020,February,27.581045516006167,0,Uttarakhand,70.90795391844303
Garlic,Monsoon,2020,May,22.15622040830722,0,Lakshadweep,26.12735574322269
Tomato,Summer,2020,April,32.630192166615174,0,Madhya Pradesh,166.35138277741794
Bitter gourd,Autumn,2020,May,17.65159324024681,1,Himachal Pradesh,53.21687131791638
Cabbage,Monsoon,2020,May,22.23128885964639,1,Andaman and Nicobar Islands,74.97057119689939
Pumpkin,Winter,2020,November,25.58179035749293,1,Mizoram,131.19352033197532
Ginger,Autumn,2020,January,38.66988411,1,Maharashtra,178.0474710439966
Pumpkin,Spring,2020,March,12.723223107588648,1,Tripura,35.413043188189235
Ginger,Summer,2020,December,36.56375471076299,0,Chhattisgarh,74.62106833473956
Pointed grourd,Autumn,2020,December,22.674786395368248,1,Kerala,104.17483723500682
Cabbage,Spring,2020,August,32.75409949558127,0,Nagaland,85.72194511
Peas,Monsoon,2020,May,29.41359239439874,1,Karnataka,117.28063705477902
Cauliflower,Autumn,2020,June,12.706375622554415,0,Madhya Pradesh,190.14545727404533
Potato,Summer,2020,July,37.737345729020504,0,Delhi,196.3917329243729
Cucumber,Summer,2020,June,11.449207985360983,1,Himachal Pradesh,100.93183725750364
Cabbage,Spring,2020,September,28.916335459217585,1,Sikkim,181.36038603342263
Ginger,Winter,2020,May,39.133767379286645,0,Daman and Diu,116.02545614926197
Radish,Autumn,2020,April,18.00658324633444,0,Meghalaya,137.98074812999198
Onion,Winter,2020,January,29.450029764279783,1,Kerala,105.0728562861655
Cabbage,Summer,2020,May,13.604837,0,Telangana,146.1082905073299
Peas,Autumn,2020,October,28.318306994031442,1,Karnataka,151.40884138372067
Cucumber,Winter,2020,September,28.656638266330905,0,Nagaland,117.20424147685583
Tomato,Spring,2020,June,12.736682202845046,1,Tamil Nadu,59.131924067279435
Cucumber,Spring,2020,May,26.92867853590384,1,Manipur,114.27809061395992
Ginger,Monsoon,2020,December,38.86423983429095,0,Bihar,107.09690068162506
Tomato,Summer,2020,June,22.726654001759144,0,Manipur,69.02914394665659
Radish,Autumn,2020,October,38.09824188857502,1,Assam,152.3318166670739
Cucumber,Monsoon,2020,December,23.781704133424462,1,Andaman and Nicobar Islands,82.87700415090347
Tomato,Winter,2020,September,33.904611621552675,1,Punjab,35.017079026842886
Onion,Spring,2020,February,12.007413119378462,0,Maharashtra,83.63718254833316
Chilly,Winter,2020,September,39.50412934067175,0,Dadra and Nagar Haveli,63.064521442545946
Cauliflower,Winter,2020,January,17.86591466732856,0,Himachal Pradesh,166.90594268944238
Brinjal,Autumn,2020,September,10.454774676795251,1,Jharkhand,82.05718138379112
Cauliflower,Winter,2020,August,21.59547350332051,1,Dadra and Nagar Haveli,55.57068760611808
Bitter gourd,Winter,2020,March,20.453558934165738,0,Assam,147.71816673923527
Cabbage,Summer,2020,December,22.25262122237121,0,Jharkhand,25.69158974853434
Radish,Summer,2020,April,19.301841139493693,1,Chhattisgarh,60.24206572773912
Cucumber,Autumn,2020,September,29.563625413191915,1,Assam,194.50049179894756
Pumpkin,Autumn,2020,August,22.00382255287573,1,West Bengal,78.87652882976268
Radish,Summer,2020,July,39.35230894251828,0,Andhra Pradesh,153.36521490566088
Peas,Spring,2020,July,17.707425049330393,1,Uttarakhand,81.98600026536826
Tomato,Monsoon,2020,January,13.308518649478831,0,Chandigarh,153.0005515541093
Brinjal,Summer,2020,July,39.18011384919697,0,Andhra Pradesh,170.5820086393248
Garlic,Spring,2020,November,27.15964635008389,0,Delhi,186.49330852258993
Radish,Summer,2020,November,12.524825868705438,1,Dadra and Nagar Haveli,123.30001932142636
Tomato,Winter,2020,January,35.80451702072757,1,Assam,183.8684704954198
Bitter gourd,Summer,2020,April,20.29701595607134,0,Puducherry,184.6943229
Brinjal,Monsoon,2020,May,19.021672901560926,0,Tamil Nadu,59.840034376887004
Garlic,Monsoon,2020,June,36.89138388776958,0,Goa,109.13806971646808
Potato,Spring,2020,April,37.20625756812166,1,Goa,97.88344548616045
